"","species","genus","raw_growth_form","domain","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","dat_corallite","Tropical.Australia","reproductive_mode","raw_colonydiam","raw_growth","dat_growth","dat_colonydiameter","link","Growth.form.typical","sa_vol2","log_growth","log_corallite","log_diameter","PC1","PC2","PC3","PC4","PCo1","PCo2","PCo3","PCo4","dim1","dim2","dim3","dim4","mclust","kclust","clust","gen"
"Montipora stellata","Montipora stellata","Montipora","digitate","pacific",4,1,3,3,3,4,3,0.9,1,"spawner",NA,NA,30.5,103.3,"Montipora","digitate",2.2,3.41772668361337,-0.105360515657826,4.63763737612559,-1.14591410512583,-0.925043057828765,-0.00495219875569387,-0.13214116005806,-0.100174111195044,0.0782886802239153,0.0125080927183095,0.0379142814471846,0.100174111195044,0.0782886802239153,0.0125080927183095,0.0379142814471846,2,7,7,"other"
"Montipora tuberculosa","Montipora tuberculosa","Montipora","massive","pacific",3,1,2,3,4,1,1,1,1,"spawner",NA,NA,12.8,65,"Montipora","massive",0.5,2.54944517092557,0,4.17438726989564,0.664400816353287,0.675829185625131,-0.0436130887806927,-0.663201038569029,0.11008988616184,-0.084377075711575,0.0257081153072497,0.0166398692122701,-0.11008988616184,-0.084377075711575,0.0257081153072497,0.0166398692122701,8,2,2,"other"
"Montipora turgescens","Montipora turgescens","Montipora","massive","pacific",3,1,2,3,4,1,1,1,1,"spawner",NA,NA,12.8,65,"Montipora","massive",0.5,2.54944517092557,0,4.17438726989564,0.664400816353287,0.675829185625131,-0.0436130887806927,-0.663201038569029,0.11008988616184,-0.084377075711575,0.0257081153072497,0.01663986921227,-0.11008988616184,-0.084377075711575,0.0257081153072497,0.01663986921227,8,2,2,"other"
"Montipora turtlensis","Montipora turtlensis","Montipora","digitate","pacific",4,1,3,2,3,4,3,0.9,1,"spawner",NA,NA,30.5,103.3,"Montipora","digitate",2.2,3.41772668361337,-0.105360515657826,4.63763737612559,-1.42402443679972,-0.421461167245527,0.333016652556689,0.658645863664172,-0.134436276952329,0.0623520973379346,-0.0585698799493013,0.0373790129059959,0.134436276952329,0.0623520973379346,-0.0585698799493013,0.0373790129059959,2,7,7,"other"
"Montipora undata","Montipora undata","Montipora","laminar","pacific",4,1,2,5,2,4,2,1.2,1,"spawner",NA,26,26,94.8,"Montipora","laminar",2.176,3.25809653802148,0.182321556793955,4.55176940926098,0.108331021027836,-2.37848390086447,-0.724115434205973,-1.18158846246839,-0.0303822713387234,0.216412599791552,0.0792406872594136,0.0423271590768804,0.0303822713387234,0.216412599791552,0.0792406872594136,0.0423271590768804,9,6,6,"other"
"Montipora venosa","Montipora venosa","Montipora","massive","pacific",3,1,2,3,4,1,1,1.8,1,"spawner",NA,NA,12.8,65,"Montipora","massive",0.5,2.54944517092557,0.587786664902119,4.17438726989564,0.834064272289051,0.789236088014382,-0.0722480897099455,-0.611083519944908,0.117052303202259,-0.0858498552616871,0.0270363495316068,0.0192636043203425,-0.117052303202259,-0.0858498552616871,0.0270363495316068,0.0192636043203425,8,2,2,"other"
"Montipora verrucosa","Montipora verrucosa","Montipora","laminar","pacific",4,1,3,5,2,4,2,1.4,1,"spawner",NA,27.7,28.7,100.1,"Montipora","laminar",2.176,3.35689712276558,0.336472236621213,4.60616968632117,0.0829845443689058,-2.34910702055396,-0.77479708089538,-1.17340288311713,-0.0324757734806391,0.215938488780868,0.0775178982163855,0.0463942434310634,0.0324757734806391,0.215938488780868,0.0775178982163855,0.0463942434310634,9,6,6,"other"
"Montipora verruculosa","Montipora verruculosa","Montipora","encrusting","pacific",2,1,4,4,1,2,1,0.8,1,"spawner",200,NA,6.3,200,"Montipora","encrusting",1,1.84054963339749,-0.22314355131421,5.29831736654804,1.18860419051213,-1.60314157248234,-1.53339890063577,0.270483423479506,0.172787033499368,0.127581900140189,0.0284767751249902,0.00811138579951559,-0.172787033499368,0.127581900140189,0.0284767751249902,0.00811138579951559,5,3,3,"other"
"Montipora vietnamensis","Montipora vietnamensis","Montipora","digitate","pacific",4,1,3,3,3,4,3,0.7,1,"spawner",NA,NA,30.5,103.3,"Montipora","digitate",2.2,3.41772668361337,-0.356674943938732,4.63763737612559,-1.21845551678878,-0.973531382826423,0.00729099986902615,-0.154424558403992,-0.102502138598386,0.0801290002419463,0.0125476814905504,0.039890359473348,0.102502138598386,0.0801290002419463,0.0125476814905504,0.039890359473348,2,7,7,"other"
"Moseleya latistellata","Moseleya latistellata","Moseleya","submassive","pacific",1,5,1,4,3,1,1,73,1,"spawner",25,NA,NA,25,NA,"massive",0.5,NA,4.29045944114839,3.2188758248682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Mycedium elephantotus","Mycedium elephantotus","Mycedium","laminar","pacific",3,3,4,4,2,4,2,10,1,"spawner",300,NA,12.5,300,"Mycedium","laminar",2.176,2.52572864430826,2.30258509299405,5.7037824746562,0.393277446613928,-1.3111305526089,-1.80507169469825,0.247489680074498,0.0219598652664046,0.179629645950607,0.0480811809611361,0.0662351338954868,-0.0219598652664046,0.179629645950607,0.0480811809611361,0.0662351338954868,9,6,6,"other"
"Mycedium mancaoi","Mycedium mancaoi","Mycedium","laminar","pacific",3,3,3,4,2,4,2,7.2,1,"spawner",NA,NA,12.5,134.8,"Mycedium","laminar",2.176,2.52572864430826,1.97408102602201,4.90379219847821,0.589933051010369,-1.45269001391752,-0.94772758634323,0.00764594961306098,0.0213396990053784,0.170933199684882,0.0457608227442565,0.038680908734287,-0.0213396990053784,0.170933199684882,0.0457608227442565,0.038680908734287,9,6,6,"other"
"Mycedium robokaki","Mycedium robokaki","Mycedium","laminar","pacific",3,3,3,4,2,4,2,7.2,1,"spawner",NA,NA,12.5,134.8,"Mycedium","laminar",2.176,2.52572864430826,1.97408102602201,4.90379219847821,0.589933051010369,-1.45269001391752,-0.94772758634323,0.00764594961306098,0.0213396990053784,0.170933199684882,0.0457608227442565,0.038680908734287,-0.0213396990053784,0.170933199684882,0.0457608227442565,0.038680908734287,9,6,6,"other"
"Mycedium steeni","Mycedium steeni","Mycedium","laminar","pacific",3,2,1,4,2,4,2,3.1,1,"spawner",30,NA,12.5,30,"Mycedium","laminar",2.176,2.52572864430826,1.1314021114911,3.40119738166216,0.894168118717299,-1.76211512539357,0.673586442176955,-0.462853214648994,0.0316275983129378,0.185857159189046,0.0526376786398719,-0.0120437721598309,-0.0316275983129378,0.185857159189046,0.0526376786398719,-0.0120437721598309,9,6,6,"other"
"Nemenzophyllia turbida","Nemenzophyllia turbida","Nemenzophyllia","massive","pacific",1,4,4,5,4,1,1,13,1,"spawner",200,NA,4.1,200,NA,"massive",0.5,1.41098697371026,2.56494935746154,5.29831736654804,2.1278641390924,0.338839691151395,-2.18831302308154,-1.49302255992054,0.224156035489216,-0.0833366573270186,0.150578384215116,0.141115691584638,-0.224156035489216,-0.0833366573270186,0.150578384215116,0.141115691584638,8,2,2,"other"
"Oulastrea crispata","Oulastrea crispata","Oulastrea","encrusting","pacific",1,2,1,3,1,2,1,5.6,1,"spawner",NA,NA,NA,NA,"Other.Merulinidae","encrusting",1,NA,1.7227665977411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Oulophyllia bennettae","Oulophyllia bennettae","Oulophyllia","massive","pacific",2,4,2,1,4,1,1,17.4,1,"spawner",NA,NA,6.4,94.1,"Oulophyllia","massive",0.5,1.85629799036563,2.85647020622048,4.54435804659133,1.14882304762371,2.31012783765305,0.00557228901783688,1.40808846429681,0.148919071379254,-0.155768045819266,-0.102854085310153,0.0495646326395554,-0.148919071379254,-0.155768045819266,-0.102854085310153,0.0495646326395554,8,2,2,"other"
"Oulophyllia crispa","Oulophyllia crispa","Oulophyllia","massive","pacific",3,3,2,1,4,1,1,11.6,1,"spawner",100,21,21,100,"Oulophyllia","massive",0.5,3.04452243772342,2.45100509811232,4.60517018598809,0.408052884302674,2.16951824660303,0.130224113865981,1.14989183201169,0.100118914636467,-0.147851235001422,-0.0873234241941608,0.0601610920471502,-0.100118914636467,-0.147851235001422,-0.0873234241941608,0.0601610920471502,8,2,2,"other"
"Oulophyllia levis","Oulophyllia levis","Oulophyllia","massive","pacific",2,4,2,1,4,1,1,18.1,1,"spawner",NA,NA,6.4,94.1,"Oulophyllia","massive",0.5,1.85629799036563,2.89591193827178,4.54435804659133,1.16020782541385,2.31773768136659,0.00365081971378536,1.41158566035024,0.149489987807283,-0.156209923686608,-0.103218421247887,0.0496483068750236,-0.149489987807283,-0.156209923686608,-0.103218421247887,0.0496483068750236,8,2,2,"other"
"Oxypora crassispinosa","Oxypora crassispinosa","Oxypora","laminar","pacific",1,3,2,5,2,4,2,8.8,1,"spawner",NA,NA,NA,NA,"Oxypora","laminar",2.176,NA,2.17475172148416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Oxypora glabra","Oxypora glabra","Oxypora","laminar","pacific",1,3,2,5,2,4,2,7.5,1,"spawner",NA,NA,NA,NA,"Oxypora","laminar",2.176,NA,2.01490302054226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Oxypora lacera","Oxypora lacera","Oxypora","laminar","pacific",1,3,2,5,2,4,2,8.8,1,"spawner",NA,NA,NA,NA,"Oxypora","laminar",2.176,NA,2.17475172148416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Pachyseris foliosa","Pachyseris foliosa","Pachyseris","laminar","pacific",1,3,1,5,2,4,2,6.3,1,"spawner",NA,NA,NA,NA,"Pachyseris","laminar",2.176,NA,1.84054963339749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Pachyseris gemmae","Pachyseris gemmae","Pachyseris","laminar","pacific",1,2,4,5,2,4,2,3.3,1,"spawner",NA,NA,NA,NA,"Pachyseris","laminar",2.176,NA,1.19392246847243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Pachyseris rugosa","Pachyseris rugosa","Pachyseris","laminar","pacific",1,2,5,5,2,4,2,4.8,1,"spawner",633.3,NA,NA,633.3,"Pachyseris","laminar",2.176,NA,1.56861591791385,6.45094424352238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Pachyseris speciosa","Pachyseris speciosa","Pachyseris","laminar","pacific",1,2,4,5,2,4,2,4.6,1,"spawner",2,NA,NA,2,"Pachyseris","laminar",2.176,NA,1.52605630349505,0.693147180559945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other"
"Palauastrea ramosa","Palauastrea ramosa","Palauastrea","branching_closed","pacific",3,1,2,4,4,3,4,1.2,1,"spawner",NA,NA,24.4,62.9,NA,"branching_closed",2.025,3.19458313229916,0.182321556793955,4.1415461637064,-0.730488363917365,-0.55715190771979,0.188122592116176,-1.62101061413315,-0.0978031955855825,-0.00634257596144309,0.133956495406056,0.0243516234554072,0.0978031955855825,-0.00634257596144309,0.133956495406056,0.0243516234554072,4,4,4,"other"
"Paragoniastrea australensis","Paragoniastrea australensis","Paragoniastrea","submassive","pacific",1,3,2,3,3,1,1,10,1,"spawner",NA,3.4,3.4,67.1,"Paragoniastrea","massive",0.5,1.22377543162212,2.30258509299405,4.20618404397764,2.19679500872813,0.688125470518593,-0.351521200469434,0.203705021988524,0.199277115465315,-0.0307398641372122,-0.0238420150067256,0.00808287490087089,-0.199277115465315,-0.0307398641372122,-0.0238420150067256,0.00808287490087089,7,2,2,"other"
"Paragoniastrea russelli","Paragoniastrea russelli","Paragoniastrea","submassive","pacific",2,4,2,3,3,1,1,16,1,"spawner",NA,NA,6.4,94.1,"Paragoniastrea","massive",0.5,1.85629799036563,2.77258872223978,4.54435804659133,1.88901173154241,0.775485379227247,-0.640186352671424,0.207620001734313,0.184658718161389,-0.030658902131258,-0.0256212636622345,0.015206636311346,-0.184658718161389,-0.030658902131258,-0.0256212636622345,0.015206636311346,7,2,2,"other"
"Paramontastrea salebrosa","Paramontastrea salebrosa","Paramontastraea","massive","pacific",2,2,2,2,4,1,1,4.7,1,"spawner",NA,NA,6.4,94.1,"Paramontastrea","massive",0.5,1.85629799036563,1.54756250871601,4.54435804659133,1.04911976643432,1.55400675836238,-0.268630955872379,0.501243990864821,0.114144587797251,-0.116915343487126,-0.0686247810581562,0.00929682681947961,-0.114144587797251,-0.116915343487126,-0.0686247810581562,0.00929682681947961,8,2,2,"other"
"Pavona bipartita","Pavona bipartita","Pavona","submassive","pacific",2,2,2,3,3,1,1,3.1,1,"spawner",100,NA,6.4,100,"Pavona","massive",0.5,1.85629799036563,1.1314021114911,4.60517018598809,1.39312947504759,0.464779474063525,-0.62418864984591,0.0781180606630227,0.156311519583869,-0.0222118650121638,-0.0218883688333372,0.00470982854910934,-0.156311519583869,-0.0222118650121638,-0.0218883688333372,0.00470982854910934,7,2,2,"other"
"Pavona cactus","Pavona cactus","Pavona","bifacial","pacific",4,1,5,2,3,5,2,1.4,1,"spawner",1000,37.9,37.9,1000,"Pavona","laminar",2.176,3.63495111208838,0.336472236621213,6.90775527898214,-2.20231961318911,-0.467182415197411,-2.12622357424633,1.50133196730037,-0.135599628760635,0.100829812402095,-0.135559804638075,0.128663167247061,0.135599628760635,0.100829812402095,-0.135559804638075,0.128663167247061,2,7,7,"other"
"Pavona clavus","Pavona clavus","Pavona","columnar","pacific",3,2,5,3,5,1,5,3.4,1,"spawner",2000,14.2,14.2,2000,"Pavona","columnar",0.9,2.65324196460721,1.22377543162212,7.60090245954208,-1.6703509997547,1.71722123203131,-3.22649950425102,-0.496246083338882,-0.0701661653611783,-0.233231218279033,0.110041833762277,-0.0859113578313072,0.0701661653611783,-0.233231218279033,0.110041833762277,-0.0859113578313072,6,9,9,"other"
"Pavona decussata","Pavona decussata","Pavona","bifacial","pacific",3,2,1,3,3,5,2,3.5,1,"spawner",20,NA,15.2,20,"Pavona","laminar",2.176,2.72129542785223,1.25276296849537,2.99573227355399,0.228194937474403,-1.12373992893411,1.47556179169489,-0.055424031006074,-0.00459783165958902,0.114840331265466,-0.0355759349990068,0.00818744376410728,0.00459783165958902,0.114840331265466,-0.0355759349990068,0.00818744376410728,9,6,6,"other"
"Pavona duerdeni","Pavona duerdeni","Pavona","massive","pacific",3,2,2,3,4,1,1,2.1,1,"spawner",NA,10.2,10.2,74.2,"Pavona","massive",0.5,2.32238772029023,0.741937344729377,4.30676415017333,0.945282912237469,0.844969855895734,-0.251243349142409,-0.517017938212613,0.124164329747172,-0.0868206979013792,0.0242735562823825,0.0205905044012606,-0.124164329747172,-0.0868206979013792,0.0242735562823825,0.0205905044012606,8,2,2,"other"
"Pavona explanulata","Pavona explanulata","Pavona","laminar","pacific",3,2,2,5,2,4,2,3,1,"spawner",NA,NA,12.5,82.7,"Pavona","laminar",2.176,2.52572864430826,1.09861228866811,4.41521960202965,0.793353222101432,-2.17292913532782,-0.729220398852343,-0.989455836596291,0.0192790584395345,0.202380844729429,0.0725925514461231,0.0317279117157932,-0.0192790584395345,0.202380844729429,0.0725925514461231,0.0317279117157932,9,6,6,"other"
"Pavona frondifera","Pavona frondifera","Pavona","bifacial","pacific",3,2,2,3,3,5,2,2.6,1,"spawner",NA,NA,15.2,91.7,"Pavona","laminar",2.176,2.72129542785223,0.955511445027436,4.51852237926242,-0.412436975701486,-1.03227815800502,-0.111457788414404,0.319319864735134,-0.0294661293228639,0.102587171660527,-0.0338320190537889,0.0470753726409749,0.0294661293228639,0.102587171660527,-0.0338320190537889,0.0470753726409749,9,6,6,"other"
"Pavona maldivensis","Pavona maldivensis","Pavona","columnar","pacific",3,2,1,4,5,1,5,4.1,1,"spawner",30,12.1,12.1,30,"Pavona","columnar",0.9,2.4932054526027,1.41098697371026,3.40119738166216,0.272989973023525,0.848549760545373,0.820450193598295,-2.34453843629354,-0.0105305707919519,-0.163830383589733,0.213891710097549,-0.154959461856212,0.0105305707919519,-0.163830383589733,0.213891710097549,-0.154959461856212,6,9,9,"other"
"Pavona minuta","Pavona minuta","Pavona","submassive","pacific",2,2,5,3,3,1,1,3.3,1,"spawner",550,NA,6.4,550,"Pavona","massive",0.5,1.85629799036563,1.19392246847243,6.30991827822652,0.790048337926727,0.643436892798186,-2.42009821559804,0.532689430973109,0.164982015853425,-0.036702915691987,-0.0311206402928325,0.0467051250222776,-0.164982015853425,-0.036702915691987,-0.0311206402928325,0.0467051250222776,7,2,2,"other"
"Pavona varians","Pavona varians","Pavona","encrusting","pacific",1,3,1,4,1,2,1,9.3,1,"spawner",NA,3.8,3.8,43.7,"Pavona","encrusting",1,1.33500106673234,2.23001440015921,3.77734810210154,2.7068208580895,-1.24939839360619,-0.125164535795254,0.188750424191421,0.249323561993709,0.118942602180236,0.0404566742886646,-0.0120163917871033,-0.249323561993709,0.118942602180236,0.0404566742886646,-0.0120163917871033,5,3,3,"other"
"Pavona venosa","Pavona venosa","Pavona","encrusting","pacific",1,3,1,4,1,2,1,9.3,1,"spawner",NA,NA,3.1,39.5,"Pavona","encrusting",1,1.1314021114911,2.23001440015921,3.67630067190708,2.84671609564566,-1.24756629785332,-0.0478268481981398,0.202960384052976,0.256187573595765,0.121543895122162,0.0408885576865463,-0.0133502635903331,-0.256187573595765,0.121543895122162,0.0408885576865463,-0.0133502635903331,5,3,3,"other"
"Pectinia alcicornis","Pectinia alcicornis","Pectinia","digitate","pacific",3,4,3,2,3,4,3,21.2,1,"spawner",NA,NA,15.2,149.6,"Pectinia","digitate",2.2,2.72129542785223,3.05400118167797,5.00796506554038,-0.29441988756704,0.264336961389137,-0.309333582124785,1.1759704551659,-0.0847097098378866,0.0441020601218318,-0.0807340583634395,0.0549573380882444,0.0847097098378866,0.0441020601218318,-0.0807340583634395,0.0549573380882444,2,7,7,"other"
"Pectinia elongata","Pectinia elongata","Pectinia","branching_closed","pacific",4,3,4,2,4,3,4,11,1,"spawner",NA,NA,29.2,212.4,"Pectinia","branching_closed",2.025,3.37416870927424,2.39789527279837,5.35847128936778,-1.1814974704696,0.986078891634715,-0.498180812941072,0.441538167739476,-0.128770582094907,-0.0836344908976671,-0.0247503922816962,0.0406013774769103,0.128770582094907,-0.0836344908976671,-0.0247503922816962,0.0406013774769103,4,4,4,"other"
"Pectinia lactuca","Pectinia lactuca","Pectinia","encrusting","pacific",1,5,2,4,1,2,1,30,1,"spawner",100,NA,3.2,100,"Pectinia","encrusting",1,1.16315080980568,3.40119738166216,4.60517018598809,2.83026695734834,-0.932652249987729,-1.07725255993339,0.545102594726792,0.255962232065068,0.122979524856203,0.0347661490766537,0.0124720201570004,-0.255962232065068,0.122979524856203,0.0347661490766537,0.0124720201570004,5,3,3,"other"
"Pectinia maxima","Pectinia maxima","Pectinia","laminar","pacific",3,4,2,5,2,4,2,15,1,"spawner",100,NA,12.5,100,"Pectinia","laminar",2.176,2.52572864430826,2.70805020110221,4.60517018598809,1.1887055068601,-1.84384325093894,-1.00739565701189,-0.796718480044489,0.0408564824442328,0.204437821479202,0.0756524366021814,0.0573873569488862,-0.0408564824442328,0.204437821479202,0.0756524366021814,0.0573873569488862,9,6,6,"other"
"Pectinia paeonia","Pectinia paeonia","Pectinia","laminar","pacific",3,5,2,5,2,4,2,35,1,"spawner",100,NA,12.5,100,"Pectinia","laminar",2.176,2.52572864430826,3.55534806148941,4.60517018598809,1.43327635506778,-1.68036654844595,-1.04867317565649,-0.721590776992121,0.0488005574374441,0.214050595689282,0.0782146168349368,0.0580233783369673,-0.0488005574374441,0.214050595689282,0.0782146168349368,0.0580233783369673,9,6,6,"other"
"Pectinia pygmaeus","Pectinia pygmaeus","Pectinia","branching_closed","pacific",4,2,4,2,4,3,4,4.7,1,"spawner",NA,NA,29.2,212.4,"Pectinia","branching_closed",2.025,3.37416870927424,1.54756250871601,5.35847128936778,-1.42694433761424,0.82201663821369,-0.45675544393627,0.366141367650208,-0.135361238984621,-0.0745476743938944,-0.0224050227562426,0.0352877294166543,0.135361238984621,-0.0745476743938944,-0.0224050227562426,0.0352877294166543,4,4,4,"other"
"Pectinia teres","Pectinia teres","Pectinia","branching_closed","pacific",4,3,4,2,4,3,4,6.2,1,"spawner",NA,NA,29.2,212.4,"Pectinia","branching_closed",2.025,3.37416870927424,1.82454929205105,5.35847128936778,-1.34699265154294,0.875458158711641,-0.470249313858464,0.390701067114474,-0.132682866263568,-0.0775539881501217,-0.0232130313472622,0.0371682356832783,0.132682866263568,-0.0775539881501217,-0.0232130313472622,0.0371682356832783,4,4,4,"other"
"Physogyra lichtensteini","Physogyra lichtensteini","Physogyra","massive","pacific",1,4,2,3,4,1,1,20,1,"spawner",100,NA,4.1,100,"Physogyra","massive",0.5,1.41098697371026,2.99573227355399,4.60517018598809,1.94853732152195,1.36138112836591,-0.804386778707812,-0.0558259398319194,0.180173889787317,-0.109520721193129,0.0147571930085642,0.04001649075012,-0.180173889787317,-0.109520721193129,0.0147571930085642,0.04001649075012,8,2,2,"other"
"Physophyllia ayleni","Physophyllia ayleni","Physophyllia","laminar","pacific",3,4,3,5,2,4,2,15,1,NA,NA,NA,12.5,134.8,NA,"laminar",2.176,2.52572864430826,2.70805020110221,4.90379219847821,1.07990213047529,-1.81466071192819,-1.32145296168966,-0.718061931563222,0.0351902032415371,0.204533194171861,0.0761377064447426,0.0694913118782048,-0.0351902032415371,0.204533194171861,0.0761377064447426,0.0694913118782048,9,6,6,"other"
"Platygyra acuta","Platygyra acuta","Platygyra","massive","pacific",2,2,2,3,4,1,1,5.2,1,"spawner",NA,NA,6.4,94.1,"Platygyra","massive",0.5,1.85629799036563,1.64865862558738,4.54435804659133,1.35641129188868,1.06993023961311,-0.611524871963217,-0.280579102458025,0.149440455802666,-0.0939905290151989,0.019791528049652,0.0272042862296744,-0.149440455802666,-0.0939905290151989,0.019791528049652,0.0272042862296744,8,2,2,"other"
"Platygyra carnosus","Platygyra carnosus","Platygyra","massive","pacific",2,2,1,2,4,1,1,5,1,"spawner",40,NA,6.4,40,"Platygyra","massive",0.5,1.85629799036563,1.6094379124341,3.68887945411394,1.37867488232493,1.48234413546205,0.628051588229327,0.281398663732771,0.132221247928871,-0.122423064330268,-0.0688898351978964,-0.0104521246618901,-0.132221247928871,-0.122423064330268,-0.0688898351978964,-0.0104521246618901,8,2,2,"other"
"Platygyra contorta","Platygyra contorta","Platygyra","massive","pacific",2,2,2,2,4,1,1,5.6,1,"spawner",NA,NA,6.4,94.1,"Platygyra","massive",0.5,1.85629799036563,1.7227665977411,4.54435804659133,1.09969207950818,1.58781043954248,-0.277166313259021,0.516778882889477,0.116907473351558,-0.118528239010296,-0.0695749313742231,0.0105086467522656,-0.116907473351558,-0.118528239010296,-0.0695749313742231,0.0105086467522656,8,2,2,"other"
"Platygyra daedalea","Platygyra daedalea","Platygyra","massive","pacific",3,3,3,3,4,1,1,10,1,"spawner",NA,22,22,182.4,"Platygyra","massive",0.5,3.09104245335832,2.30258509299405,5.20620207764023,0.678893300158867,1.18977883743563,-1.16397053351507,-0.295859616593342,0.117394923322906,-0.10648670712018,0.0232919411401115,0.0610609698710478,-0.117394923322906,-0.10648670712018,0.0232919411401115,0.0610609698710478,8,2,2,"other"
"Platygyra lamellina","Platygyra lamellina","Platygyra","massive","pacific",2,3,3,3,4,1,1,9.1,1,"spawner",NA,7.4,7.4,101.7,"Platygyra","massive",0.5,2.00148000021012,2.2082744135228,4.62202730305451,1.41614135408328,1.17714413004257,-0.699840039506861,-0.23961338189492,0.152670354722656,-0.0981184329913458,0.0185295580384593,0.0340243276520785,-0.152670354722656,-0.0981184329913458,0.0185295580384593,0.0340243276520785,8,2,2,"other"
"Platygyra pini","Platygyra pini","Platygyra","massive","pacific",2,3,2,3,4,1,1,7.2,1,"spawner",NA,NA,6.4,94.1,"Platygyra","massive",0.5,1.85629799036563,1.97408102602201,4.54435804659133,1.45034382284503,1.1327168739569,-0.627378363196124,-0.251724742486824,0.154708778450072,-0.0966049101579062,0.0194290554216362,0.029678416443605,-0.154708778450072,-0.0966049101579062,0.0194290554216362,0.029678416443605,8,2,2,"other"
"Platygyra ryukyuensis","Platygyra ryukyuensis","Platygyra","massive","pacific",2,2,2,2,4,1,1,3.3,1,"spawner",NA,NA,6.4,94.1,"Platygyra","massive",0.5,1.85629799036563,1.19392246847243,4.54435804659133,0.947042269669432,1.48577584412156,-0.251402795579422,0.469887645979557,0.108376121876328,-0.114082736167232,-0.0675125937221237,0.00759622278984543,-0.108376121876328,-0.114082736167232,-0.0675125937221237,0.00759622278984543,8,2,2,"other"
"Platygyra sinensis","Platygyra sinensis","Platygyra","massive","pacific",2,3,3,2,4,1,1,6.7,1,"spawner",NA,8.4,8.4,108.8,"Platygyra","massive",0.5,2.12823170584927,1.90210752639692,4.68951133442184,0.960896561735006,1.62096116291775,-0.399915700559147,0.516385534030809,0.109364834707045,-0.119689459420912,-0.0694219952684514,0.0183297730182799,-0.109364834707045,-0.119689459420912,-0.0694219952684514,0.0183297730182799,8,2,2,"other"
"Platygyra verweyi","Platygyra verweyi","Platygyra","massive","pacific",2,2,2,2,4,1,1,4.7,1,"spawner",NA,NA,6.4,94.1,"Platygyra","massive",0.5,1.85629799036563,1.54756250871601,4.54435804659133,1.04911976643432,1.55400675836238,-0.268630955872379,0.501243990864821,0.114144587797251,-0.116915343487126,-0.0686247810581561,0.00929682681947966,-0.114144587797251,-0.116915343487126,-0.0686247810581561,0.00929682681947966,8,2,2,"other"
"Platygyra yaeyamaensis","Platygyra yaeyamaensis","Platygyra","massive","pacific",2,2,2,2,4,1,1,5.1,1,"spawner",NA,NA,6.4,94.1,"Platygyra","massive",0.5,1.85629799036563,1.62924053973028,4.54435804659133,1.07269596821531,1.569765626407,-0.272610036436213,0.508486169969508,0.115442153152176,-0.117648105018712,-0.0690585692812415,0.00987591503739166,-0.115442153152176,-0.117648105018712,-0.0690585692812415,0.00987591503739166,8,2,2,"other"
"Plerogyra discus","Plerogyra discus","Plerogyra","massive","pacific",1,4,1,3,4,1,1,20.8,1,"spawner",30,NA,4.1,30,"Plerogyra","massive",0.5,1.41098697371026,3.03495298670727,3.40119738166216,2.39852759260749,1.25129128471516,0.45990674408538,-0.369472803624884,0.207365947669327,-0.117299279153526,0.0199243825861511,0.0168222174333552,-0.207365947669327,-0.117299279153526,0.0199243825861511,0.0168222174333552,8,2,2,"other"
"Plerogyra simplex","Plerogyra simplex","Plerogyra","branching_closed","pacific",3,4,4,3,4,3,4,20,1,"spawner",NA,NA,18.9,241.4,"Plerogyra","branching_closed",2.025,2.9391619220656,2.99573227355399,5.48645530866343,-0.55721780165209,0.635362824426338,-1.06169085592751,-0.175301805357093,-0.0778635244319654,-0.0690703604946812,0.0560908547456807,0.0498403888449353,0.0778635244319654,-0.0690703604946812,0.0560908547456807,0.0498403888449353,4,4,4,"other"
"Plerogyra sinuosa","Plerogyra sinuosa","Plerogyra","massive","pacific",1,5,2,3,4,1,1,30,1,"spawner",100,NA,4.1,100,"Plerogyra","massive",0.5,1.41098697371026,3.40119738166216,4.60517018598809,2.06557402141792,1.43961111329612,-0.82413968301943,-0.0198744006339733,0.186445804231311,-0.113166522887469,0.013638511198062,0.0411513765022777,-0.186445804231311,-0.113166522887469,0.013638511198062,0.0411513765022777,8,2,2,"other"
