"","Year","Date","Marine.Park","SectorRegion","Name","Reef","Site","Site_notes","Zone","Transect","Depth","Complexity","Total.Macroalgae","Total.HARD.CORAL","Gradient","Total","id","variable","n","group","morph","acro","dim1","dim2","dim3","dim4","t","type","simpDx","morph8"
"130495",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Cynarina",0,"HC","Encrusting-submassive","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"Encrusting"
"133303",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Gardinoseris",0,"HC","Encrusting-submassive","no",-0.140359849533919,-0.0922340986024226,0.0252378267861654,0.0236217710367828,"ii","high D",0.836565096952909,"Encrusting"
"136111",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Leptoseris",0,"HC","Encrusting-foliose","no",-0.113176808041431,0.175498836497856,0.06293299577905,0.0173592087938436,"ii","high D",0.836565096952909,"Foliose"
"138919",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Oxypora",0,"HC","Encrusting-submassive","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"Encrusting"
"141727",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Scapophyllia",0,"HC","Encrusting-submassive","no",0.0481781615794045,-0.193096592599396,0.0971301774795498,-0.10679088278928,"ii","high D",0.836565096952909,"Encrusting"
"144535",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Pectinia",0,"HC","Encrusting-foliose","no",0.0194150178906054,0.0499762641006908,0.00536152825216163,0.0422710623011345,"ii","high D",0.836565096952909,"Foliose"
"147343",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Bernardpora",0,"HC","Encrusting-submassive","no",-0.199811883259408,0.0882839692151224,-0.0429146808591924,-0.0456104914730866,"ii","high D",0.836565096952909,"Encrusting"
"150151",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Podabacia",0,"HC","Encrusting-submassive","no",-0.226730189710759,0.125257951054428,0.0358318279843551,-0.0138452856305281,"ii","high D",0.836565096952909,"Encrusting"
"152959",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Tubastrea",0,"HC","Encrusting-submassive","no",NA,NA,NA,NA,"ii","high D",0.836565096952909,"Encrusting"
"155767",2020,"18/03/20","GBR","Northern Great Barrier Reef","Morgan","Escape","Escape 2","","Slope",1,7.5,2,0,38,"0",100,"Escape 2 Slope 1 2020","Paramontastrea",0,"HC","Encrusting-submassive","no",-0.114144587797251,-0.116915343487126,-0.0686247810581562,0.00929682681947961,"ii","high D",0.836565096952909,"Encrusting"
