,species,genus,domain,cat_growthrate,cat_corallitesize,cat_colonydiameter,cat_skeletaldensity,cat_colonyheight,cat_SA_vol,cat_spacesize,dat_growth,dat_skeletal,dat_corallite,dat_colonydiameter,raw_growth,raw_skeldensity,raw_polypsize,raw_colonydiam,raw_growth_form,reproductive_mode,raw_reproductive_mode,species_keith,species_keith_updated,Andaman.Sea,Eastern.Pacific,Fiji.Caroline.Islands,Hawaii.Line.Islands,Indonesia.Philippines,Japan.Vietnam,Northern.PNG...Solomon.Islands,Persian.Gulf,Polynesia,Red.Sea.Gulf.of.Aden,Subtropical.East.Africa,Subtropical.Eastern.Australia,Subtropical.Japan,Subtropical.Western.Australia,Tonga.Samoa,Tropical.Australia,Western.Indian.Ocean,Caribbean,Brazil,East_Atlantic
366,Favites rotundata,Favites,pacific,2,4,2,3,4,1,1,6.4,1.6,21.2,94.1,NA,NA,21.2,NA,massive,spawner,NA,Favia rotundata,Favites rotundata,1,NA,1,NA,1,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,NA,NA,NA
367,Favites spinosa,Favites,pacific,2,3,2,3,4,1,1,6.4,1.5,8.2,94.1,NA,NA,8.2,NA,massive,spawner,NA,Favites spinosa,Favites spinosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
368,Favites stylifera,Favites,pacific,2,3,2,3,3,1,1,6.4,1.5,6.8,94.1,NA,NA,6.8,NA,submassive,spawner,NA,Favites stylifera,Favites stylifera,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
369,Favites valenciennesi,Favites,pacific,2,3,2,3,3,1,1,6.4,1.6,10,94.1,NA,NA,10,NA,submassive,spawner,spawner,Montastrea valenciennesi,Favites valenciennesi,1,NA,1,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA
370,Favites vasta,Favites,pacific,2,4,2,3,4,1,1,6.4,1.6,17.5,94.1,NA,NA,17.5,NA,massive,spawner,NA,Favites vasta,Favites vasta,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,NA
371,Fungia fungites,Fungia,pacific,2,5,1,4,1,1,1,6.5,2,158,28,2,2,158,28,solitary_free,MIXED,spawner,Fungia fungites,Fungia fungites,1,NA,1,NA,1,1,1,NA,1,1,1,NA,1,NA,1,1,1,NA,NA,NA
373,Galaxea acrhelia,Galaxea,pacific,2,2,3,3,4,3,4,NA,NA,5.4,125,NA,NA,5.4,125,branching_closed,NA,NA,Galaxea acrhelia,Galaxea acrhelia,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
374,Galaxea astreata,Galaxea,pacific,1,2,3,3,3,1,1,NA,NA,3.7,166.7,NA,NA,3.7,166.7,submassive,spawner,spawner,Galaxea astreata,Galaxea astreata,1,NA,1,NA,1,1,1,NA,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA
375,Galaxea cryptoramosa,Galaxea,pacific,2,2,1,3,4,3,4,NA,NA,4.6,30,NA,NA,4.6,30,branching_closed,NA,NA,Galaxea cryptoramosa,Galaxea cryptoramosa,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
376,Galaxea fascicularis,Galaxea,pacific,1,3,5,3,4,1,1,NA,NA,10.7,500,NA,NA,10.7,500,massive,spawner,spawner,Galaxea fascicularis,Galaxea fascicularis,1,NA,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA
